x-axis,1,2
second,Volt,Volt
-148.700E+00,-783E-03,+1.220E+00
-148.600E+00,-622E-03,+1.341E+00
-148.500E+00,-783E-03,+1.140E+00
-148.400E+00,-421E-03,+1.341E+00
-148.300E+00,-462E-03,+1.421E+00
-148.200E+00,-663E-03,+1.341E+00
-148.100E+00,-381E-03,+1.341E+00
-148.000E+00,-381E-03,+1.743E+00
-147.900E+00,-381E-03,+1.341E+00
-147.800E+00,-381E-03,+1.381E+00
-147.700E+00,-180E-03,+1.341E+00
-147.600E+00,-220E-03,+1.341E+00
-147.500E+00,-180E-03,+1.341E+00
-147.400E+00,-180E-03,+1.542E+00
-147.300E+00,-100E-03,+1.421E+00
-147.200E+00,-180E-03,+1.421E+00
-147.100E+00,-19E-03,+1.341E+00
-147.000E+00,-180E-03,+1.341E+00
-146.900E+00,+21E-03,+1.542E+00
-146.800E+00,+21E-03,+1.461E+00
-146.700E+00,+61E-03,+1.461E+00
-146.600E+00,+182E-03,+1.381E+00
-146.500E+00,+21E-03,+1.341E+00
-146.400E+00,+222E-03,+1.381E+00
-146.300E+00,+141E-03,+1.542E+00
-146.200E+00,+222E-03,+1.421E+00
-146.100E+00,+222E-03,+1.220E+00
-146.000E+00,+21E-03,+1.542E+00
-145.900E+00,+262E-03,+1.542E+00
-145.800E+00,+302E-03,+1.461E+00
-145.700E+00,+302E-03,+1.542E+00
-145.600E+00,+423E-03,+1.502E+00
-145.500E+00,+423E-03,+1.542E+00
-145.400E+00,+423E-03,+1.502E+00
-145.300E+00,+423E-03,+1.542E+00
-145.200E+00,+503E-03,+1.421E+00
-145.100E+00,+463E-03,+1.502E+00
-145.000E+00,+624E-03,+1.341E+00
-144.900E+00,+584E-03,+1.743E+00
-144.800E+00,+543E-03,+1.542E+00
-144.700E+00,+624E-03,+1.461E+00
-144.600E+00,+624E-03,+1.381E+00
-144.500E+00,+624E-03,+1.341E+00
-144.400E+00,+785E-03,+1.542E+00
-144.300E+00,+744E-03,+1.421E+00
-144.200E+00,+624E-03,+1.341E+00
-144.100E+00,+664E-03,+1.341E+00
-144.000E+00,+825E-03,+1.542E+00
-143.900E+00,+785E-03,+1.703E+00
-143.800E+00,+825E-03,+1.421E+00
-143.700E+00,+945E-03,+1.542E+00
-143.600E+00,+986E-03,+1.542E+00
-143.500E+00,+825E-03,+1.743E+00
-143.400E+00,+825E-03,+1.381E+00
-143.300E+00,+825E-03,+1.662E+00
-143.200E+00,+825E-03,+1.542E+00
-143.100E+00,+865E-03,+1.542E+00
-143.000E+00,+1.026E+00,+1.542E+00
-142.900E+00,+1.066E+00,+1.542E+00
-142.800E+00,+905E-03,+1.421E+00
-142.700E+00,+905E-03,+1.461E+00
-142.600E+00,+1.187E+00,+1.542E+00
-142.500E+00,+1.227E+00,+1.542E+00
-142.400E+00,+1.187E+00,+1.502E+00
-142.300E+00,+1.227E+00,+1.461E+00
-142.200E+00,+1.347E+00,+1.461E+00
-142.100E+00,+1.227E+00,+1.542E+00
-142.000E+00,+1.227E+00,+1.542E+00
-141.900E+00,+1.227E+00,+1.542E+00
-141.800E+00,+1.428E+00,+1.421E+00
-141.700E+00,+1.347E+00,+1.421E+00
-141.600E+00,+1.388E+00,+1.542E+00
-141.500E+00,+1.227E+00,+1.542E+00
-141.400E+00,+1.066E+00,+1.703E+00
-141.300E+00,+1.428E+00,+1.461E+00
-141.200E+00,+1.508E+00,+1.542E+00
-141.100E+00,+1.468E+00,+1.502E+00
-141.000E+00,+1.428E+00,+1.341E+00
-140.900E+00,+1.468E+00,+1.542E+00
-140.800E+00,+1.548E+00,+1.542E+00
-140.700E+00,+1.428E+00,+1.542E+00
-140.600E+00,+1.629E+00,+1.542E+00
-140.500E+00,+1.629E+00,+1.542E+00
-140.400E+00,+1.790E+00,+1.542E+00
-140.300E+00,+1.629E+00,+1.622E+00
-140.200E+00,+1.629E+00,+1.542E+00
-140.100E+00,+1.830E+00,+1.381E+00
-140.000E+00,+1.629E+00,+1.542E+00
-139.900E+00,+1.830E+00,+1.542E+00
-139.800E+00,+1.709E+00,+1.662E+00
-139.700E+00,+1.830E+00,+1.461E+00
-139.600E+00,+1.790E+00,+1.542E+00
-139.500E+00,+1.830E+00,+1.341E+00
-139.400E+00,+1.830E+00,+1.542E+00
-139.300E+00,+1.830E+00,+1.542E+00
-139.200E+00,+2.031E+00,+1.421E+00
-139.100E+00,+1.870E+00,+1.381E+00
-139.000E+00,+2.031E+00,+1.743E+00
-138.900E+00,+2.031E+00,+1.582E+00
-138.800E+00,+1.790E+00,+1.542E+00
-138.700E+00,+2.031E+00,+1.542E+00
-138.600E+00,+2.071E+00,+1.542E+00
-138.500E+00,+2.232E+00,+1.542E+00
-138.400E+00,+2.151E+00,+1.542E+00
-138.300E+00,+2.031E+00,+1.542E+00
-138.200E+00,+2.031E+00,+1.542E+00
-138.100E+00,+2.031E+00,+1.542E+00
-138.000E+00,+2.031E+00,+1.743E+00
-137.900E+00,+2.232E+00,+1.582E+00
-137.800E+00,+2.192E+00,+1.542E+00
-137.700E+00,+2.232E+00,+1.542E+00
-137.600E+00,+2.111E+00,+1.502E+00
-137.500E+00,+2.433E+00,+1.542E+00
-137.400E+00,+2.393E+00,+1.421E+00
-137.300E+00,+2.232E+00,+1.542E+00
-137.200E+00,+2.393E+00,+1.542E+00
-137.100E+00,+2.393E+00,+1.502E+00
-137.000E+00,+2.232E+00,+1.542E+00
-136.900E+00,+2.433E+00,+1.542E+00
-136.800E+00,+2.513E+00,+1.542E+00
-136.700E+00,+2.433E+00,+1.542E+00
-136.600E+00,+2.433E+00,+1.542E+00
-136.500E+00,+2.433E+00,+1.542E+00
-136.400E+00,+2.473E+00,+1.703E+00
-136.300E+00,+2.513E+00,+1.662E+00
-136.200E+00,+2.634E+00,+1.622E+00
-136.100E+00,+2.634E+00,+1.743E+00
-136.000E+00,+2.433E+00,+1.542E+00
-135.900E+00,+2.634E+00,+1.582E+00
-135.800E+00,+2.634E+00,+1.662E+00
-135.700E+00,+2.513E+00,+1.743E+00
-135.600E+00,+2.674E+00,+1.582E+00
-135.500E+00,+2.835E+00,+1.542E+00
-135.400E+00,+2.835E+00,+1.743E+00
-135.300E+00,+2.835E+00,+1.743E+00
-135.200E+00,+2.634E+00,+1.743E+00
-135.100E+00,+2.795E+00,+1.582E+00
-135.000E+00,+2.835E+00,+1.743E+00
-134.900E+00,+2.835E+00,+1.783E+00
-134.800E+00,+2.915E+00,+1.863E+00
-134.700E+00,+2.835E+00,+1.743E+00
-134.600E+00,+2.996E+00,+1.944E+00
-134.500E+00,+2.835E+00,+1.542E+00
-134.400E+00,+2.835E+00,+1.904E+00
-134.300E+00,+2.955E+00,+1.743E+00
-134.200E+00,+3.036E+00,+1.743E+00
-134.100E+00,+3.076E+00,+1.783E+00
-134.000E+00,+3.036E+00,+1.743E+00
-133.900E+00,+3.036E+00,+1.783E+00
-133.800E+00,+2.955E+00,+1.743E+00
-133.700E+00,+3.036E+00,+1.863E+00
-133.600E+00,+3.237E+00,+1.783E+00
-133.500E+00,+3.237E+00,+1.743E+00
-133.400E+00,+3.237E+00,+1.904E+00
-133.300E+00,+3.237E+00,+1.944E+00
-133.200E+00,+3.237E+00,+1.823E+00
-133.100E+00,+3.237E+00,+1.944E+00
-133.000E+00,+3.237E+00,+1.944E+00
-132.900E+00,+3.277E+00,+1.904E+00
-132.800E+00,+3.438E+00,+2.145E+00
-132.700E+00,+3.357E+00,+1.944E+00
-132.600E+00,+3.478E+00,+1.944E+00
-132.500E+00,+3.237E+00,+1.944E+00
-132.400E+00,+3.438E+00,+2.105E+00
-132.300E+00,+3.317E+00,+1.944E+00
-132.200E+00,+3.438E+00,+1.904E+00
-132.100E+00,+3.438E+00,+1.944E+00
-132.000E+00,+3.438E+00,+2.145E+00
-131.900E+00,+3.438E+00,+2.145E+00
-131.800E+00,+3.438E+00,+2.064E+00
-131.700E+00,+3.639E+00,+2.064E+00
-131.600E+00,+3.639E+00,+1.984E+00
-131.500E+00,+3.438E+00,+1.944E+00
-131.400E+00,+3.599E+00,+2.145E+00
-131.300E+00,+3.639E+00,+2.064E+00
-131.200E+00,+3.438E+00,+1.944E+00
-131.100E+00,+3.639E+00,+2.145E+00
-131.000E+00,+3.438E+00,+2.145E+00
-130.900E+00,+3.759E+00,+2.145E+00
-130.800E+00,+3.719E+00,+2.145E+00
-130.700E+00,+3.719E+00,+2.145E+00
-130.600E+00,+3.800E+00,+2.185E+00
-130.500E+00,+3.639E+00,+2.346E+00
-130.400E+00,+3.800E+00,+2.145E+00
-130.300E+00,+3.639E+00,+2.265E+00
-130.200E+00,+3.800E+00,+2.265E+00
-130.100E+00,+4.041E+00,+2.346E+00
-130.000E+00,+4.041E+00,+2.346E+00
-129.900E+00,+3.880E+00,+2.386E+00
-129.800E+00,+3.840E+00,+2.346E+00
-129.700E+00,+4.041E+00,+2.346E+00
-129.600E+00,+3.880E+00,+2.547E+00
-129.500E+00,+3.840E+00,+2.346E+00
-129.400E+00,+4.001E+00,+2.346E+00
-129.300E+00,+4.041E+00,+2.547E+00
-129.200E+00,+4.161E+00,+2.547E+00
-129.100E+00,+4.041E+00,+2.386E+00
-129.000E+00,+4.041E+00,+2.547E+00
-128.900E+00,+4.081E+00,+2.587E+00
-128.800E+00,+4.161E+00,+2.547E+00
-128.700E+00,+4.242E+00,+2.346E+00
-128.600E+00,+4.081E+00,+2.708E+00
-128.500E+00,+4.242E+00,+2.748E+00
-128.400E+00,+4.242E+00,+2.547E+00
-128.300E+00,+4.322E+00,+2.627E+00
-128.200E+00,+4.161E+00,+2.627E+00
-128.100E+00,+4.362E+00,+2.748E+00
-128.000E+00,+4.443E+00,+2.748E+00
-127.900E+00,+4.282E+00,+2.748E+00
-127.800E+00,+4.443E+00,+2.667E+00
-127.700E+00,+4.403E+00,+2.868E+00
-127.600E+00,+4.443E+00,+2.748E+00
-127.500E+00,+4.443E+00,+2.748E+00
-127.400E+00,+4.322E+00,+2.788E+00
-127.300E+00,+4.322E+00,+2.748E+00
-127.200E+00,+4.443E+00,+2.868E+00
-127.100E+00,+4.604E+00,+2.748E+00
-127.000E+00,+4.644E+00,+2.547E+00
-126.900E+00,+4.805E+00,+2.949E+00
-126.800E+00,+4.644E+00,+2.828E+00
-126.700E+00,+4.764E+00,+2.868E+00
-126.600E+00,+4.644E+00,+2.949E+00
-126.500E+00,+4.644E+00,+2.949E+00
-126.400E+00,+4.644E+00,+2.949E+00
-126.300E+00,+4.644E+00,+3.029E+00
-126.200E+00,+4.724E+00,+2.949E+00
-126.100E+00,+4.845E+00,+3.150E+00
-126.000E+00,+4.644E+00,+2.949E+00
-125.900E+00,+4.684E+00,+3.110E+00
-125.800E+00,+4.845E+00,+3.150E+00
-125.700E+00,+4.925E+00,+2.949E+00
-125.600E+00,+4.845E+00,+3.150E+00
-125.500E+00,+5.046E+00,+3.150E+00
-125.400E+00,+4.845E+00,+3.150E+00
-125.300E+00,+4.925E+00,+3.150E+00
-125.200E+00,+4.965E+00,+3.270E+00
-125.100E+00,+5.006E+00,+3.190E+00
-125.000E+00,+4.845E+00,+3.351E+00
-124.900E+00,+4.885E+00,+3.311E+00
-124.800E+00,+4.925E+00,+3.230E+00
-124.700E+00,+4.845E+00,+3.351E+00
-124.600E+00,+5.006E+00,+3.150E+00
-124.500E+00,+5.046E+00,+3.351E+00
-124.400E+00,+5.046E+00,+3.391E+00
-124.300E+00,+5.046E+00,+3.351E+00
-124.200E+00,+5.086E+00,+3.351E+00
-124.100E+00,+5.086E+00,+3.351E+00
-124.000E+00,+4.845E+00,+3.552E+00
-123.900E+00,+5.046E+00,+3.552E+00
-123.800E+00,+5.287E+00,+3.552E+00
-123.700E+00,+5.247E+00,+3.552E+00
-123.600E+00,+5.086E+00,+3.713E+00
-123.500E+00,+5.247E+00,+3.552E+00
-123.400E+00,+5.287E+00,+3.552E+00
-123.300E+00,+5.448E+00,+3.632E+00
-123.200E+00,+5.287E+00,+3.552E+00
-123.100E+00,+5.247E+00,+3.713E+00
-123.000E+00,+5.448E+00,+3.753E+00
-122.900E+00,+5.287E+00,+3.592E+00
-122.800E+00,+5.528E+00,+3.833E+00
-122.700E+00,+5.408E+00,+3.753E+00
-122.600E+00,+5.448E+00,+3.753E+00
-122.500E+00,+5.649E+00,+3.753E+00
-122.400E+00,+5.448E+00,+3.914E+00
-122.300E+00,+5.528E+00,+3.753E+00
-122.200E+00,+5.448E+00,+3.954E+00
-122.100E+00,+5.488E+00,+4.115E+00
-122.000E+00,+5.649E+00,+4.155E+00
-121.900E+00,+5.448E+00,+3.954E+00
-121.800E+00,+5.568E+00,+3.954E+00
-121.700E+00,+5.568E+00,+4.034E+00
-121.600E+00,+5.689E+00,+4.115E+00
-121.500E+00,+5.649E+00,+4.155E+00
-121.400E+00,+5.649E+00,+4.155E+00
-121.300E+00,+5.729E+00,+4.115E+00
-121.200E+00,+5.649E+00,+4.155E+00
-121.100E+00,+5.850E+00,+4.195E+00
-121.000E+00,+5.850E+00,+4.356E+00
-120.900E+00,+5.850E+00,+4.155E+00
-120.800E+00,+5.769E+00,+4.356E+00
-120.700E+00,+5.850E+00,+4.356E+00
-120.600E+00,+5.850E+00,+4.396E+00
-120.500E+00,+5.850E+00,+4.356E+00
-120.400E+00,+5.689E+00,+4.396E+00
